op_name,family,cpu_status,cpu_framework,cpu_dtypes,cpu_symbol,cpu_execution_kind,gpu_status,gpu_framework,gpu_dtypes,gpu_symbol,gpu_dispatch,proof_test,notes
ebm_bivector_langevin,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_langevin_step_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_bivector_langevin_step,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_langevin_step_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_decode_init,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_decode_init_noise_apply_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_ebt_tiny,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_ebt_tiny_refinement_argmin_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_energy,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_energy_quadratic_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_energy_quadratic,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_energy_quadratic_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_inner_step,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_inner_step_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_langevin_step,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_langevin_step_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_langevin_step_philox,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_langevin_step_philox_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_partition_exact,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_partition_exact_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_refinement,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_refinement_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_self_verify,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_self_verify_hard_argmin_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_sphere_langevin,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_sphere_langevin_step_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
ebm_sphere_langevin_step,ebm,reference,numpy_reference,"fp32,fp64",,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_ebm_sphere_langevin_step_f32,manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_codiff,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_codiff_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_conjugate,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_conjugate_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_exp,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_exp_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
clifford_ext_deriv,ga,reference,numpy_reference,fp32,,numpy_reference,fused,Metal (MSL),fp32,tessera_apple_gpu_clifford_ext_deriv_cl30_{fp32},manifest,benchmarks/apple_gpu/benchmark_ga_ebm.py,
